a,b,ratio,sd_q,sd_lb,b_budget,drop_DUB,drop_HTA,sd_qz
PAM,PAR,0.6868924058034959,9.739102311165938,0.4449242517873327,0.4274895414390063,0,0,0.2009090857843245
PAM,PRS,0.7455383397163733,10.034571619176907,0.4291537395479657,0.35745514068145134,0,0,0.7108180619259128
PAM,RED,0.7179020380485965,10.010858476674624,0.4417517523974986,0.4151289430791674,0,0,0.6698948801043014
PAM,TEL,0.7057456048641945,10.053852961889305,0.4377103686679189,0.4188594176746897,0,0,0.7440930229947935
PAM,ULK,0.7844547738081463,9.926693874783567,0.4417517523974986,0.32817338470137153,0,0,0.524647015726996
PAM,VIR,0.738332465184623,10.031578639021312,0.4291537395479657,0.38421228631902665,0,0,0.705652897878841
PAM,ZAL,0.5909066690966306,9.890432356427375,0.4348108433529872,0.5257078586935536,0,0,0.4620683546037277
PAN,PAR,0.7720771450525993,9.826745737436795,0.4107087620715413,0.3248178870853675,0,0,0.3521605645120384
PAN,PRS,0.8327168062567732,10.132070778670105,0.39864895775907633,0.2524343177375891,0,0,0.8790781662545714
PAN,RED,0.8000368017371111,10.109729314211293,0.4061950564151779,0.3156012190077588,0,0,0.8405221708979453
PAN,TEL,0.7951530329173828,10.14950976431971,0.4066399910525836,0.3135910428852221,0,0,0.9091736620520834
PAN,ULK,0.8674110741973655,10.016234220163835,0.4061950564151779,0.20932772372246572,0,0,0.6791721206983783
PAN,VIR,0.8213858827431653,10.123713043832625,0.39864895775907633,0.2819404728908686,0,0,0.864654725652463
PAN,ZAL,0.7195512573527107,9.99390774850669,0.40398290411851145,0.3887871978322056,0,0,0.6406419993122127
PAR,PRS,0.8188146873991994,9.846375113047873,0.43581782345061887,0.26098625407566134,0,0,0.38603614667494807
PAR,RED,0.7811676908757612,9.828849473626146,0.4459911528854167,0.32444055449521275,0,0,0.35579110730379354
PAR,TEL,0.7785978814772467,9.856390050210239,0.44379427687449396,0.3216647935439113,0,0,0.4033195199936907
PAR,ULK,0.8545398749816567,9.683907241734712,0.4459911528854167,0.21934007701073377,0,0,0.10565566832718624
PAR,VIR,0.8045283762902781,9.811935589923106,0.43581782345061887,0.29248662849459095,0,0,0.3266018111983754
PAR,ZAL,0.7002679760688746,9.725988249679835,0.4411088812831107,0.39701543434508785,0,0,0.1782773691080582
PRS,RED,0.8354243269836916,10.134565614958651,0.43274626205961003,0.2559695001741532,0,0,0.8833836537723692
